"subjects"	"cluster.id"
"113"	"subject113"	9
"114"	"subject114"	12
"115"	"subject115"	9
"116"	"subject116"	2
"117"	"subject117"	12
"118"	"subject118"	1
"119"	"subject119"	12
"120"	"subject120"	12
"121"	"subject121"	6
"122"	"subject122"	9
"123"	"subject123"	8
"124"	"subject124"	5
"125"	"subject125"	1
"126"	"subject126"	11
"127"	"subject127"	11
"128"	"subject128"	5
"129"	"subject129"	9
"130"	"subject130"	11
"131"	"subject131"	11
"132"	"subject132"	6
"133"	"subject133"	1
"134"	"subject134"	12
"135"	"subject135"	8
"136"	"subject136"	1
"137"	"subject137"	1
"138"	"subject138"	2
"139"	"subject139"	1
"140"	"subject140"	7
"141"	"subject141"	3
"142"	"subject142"	7
"143"	"subject143"	7
"144"	"subject144"	12
"145"	"subject145"	3
"146"	"subject146"	11
"147"	"subject147"	13
"148"	"subject148"	1
"149"	"subject149"	12
"150"	"subject150"	12
"151"	"subject151"	11
"152"	"subject152"	11
"153"	"subject153"	2
"154"	"subject154"	12
"155"	"subject155"	9
"156"	"subject156"	12
"157"	"subject157"	1
"158"	"subject158"	5
"159"	"subject159"	7
"160"	"subject160"	7
"161"	"subject161"	15
"162"	"subject162"	13
"163"	"subject163"	11
"164"	"subject164"	12
"165"	"subject165"	1
"166"	"subject166"	1
"167"	"subject167"	6
"168"	"subject168"	5
"169"	"subject169"	10
"170"	"subject170"	4
"171"	"subject171"	1
"172"	"subject172"	1
"173"	"subject173"	12
"174"	"subject174"	14
"175"	"subject175"	12
"176"	"subject176"	11
"177"	"subject177"	9
"178"	"subject178"	12
"179"	"subject179"	11
"180"	"subject180"	15
"181"	"subject181"	5
"182"	"subject182"	11
"183"	"subject183"	4
"184"	"subject184"	3
"185"	"subject185"	12
"186"	"subject186"	4
"187"	"subject187"	15
"188"	"subject188"	11
"189"	"subject189"	3
"190"	"subject190"	14
"191"	"subject191"	11
"192"	"subject192"	12
"193"	"subject193"	10
"194"	"subject194"	10
"195"	"subject195"	7
"196"	"subject196"	8
"197"	"subject197"	7
"198"	"subject198"	3
"199"	"subject199"	3
"200"	"subject200"	12
"201"	"subject201"	3
"202"	"subject202"	8
"203"	"subject203"	2
"204"	"subject204"	12
"205"	"subject205"	2
"206"	"subject206"	12
"207"	"subject207"	1
"208"	"subject208"	3
"209"	"subject209"	11
"210"	"subject210"	7
"211"	"subject211"	5
"212"	"subject212"	11
"213"	"subject213"	11
"214"	"subject214"	12
"215"	"subject215"	11
"216"	"subject216"	12
"217"	"subject217"	1
"218"	"subject218"	7
"219"	"subject219"	2
"220"	"subject220"	6
"221"	"subject221"	12
"222"	"subject222"	9
"223"	"subject223"	11
"224"	"subject224"	13
"225"	"subject225"	7
"226"	"subject226"	7
"227"	"subject227"	4
"228"	"subject228"	7
"229"	"subject229"	7
"230"	"subject230"	2
"231"	"subject231"	15
"232"	"subject232"	7
"233"	"subject233"	7
"234"	"subject234"	12
"235"	"subject235"	7
"236"	"subject236"	7
"237"	"subject237"	12
"238"	"subject238"	4
"239"	"subject239"	5
"240"	"subject240"	13
"241"	"subject241"	11
"242"	"subject242"	12
"243"	"subject243"	5
"244"	"subject244"	9
"245"	"subject245"	8
"246"	"subject246"	13
"247"	"subject247"	15
"248"	"subject248"	2
"249"	"subject249"	7
"250"	"subject250"	12
"251"	"subject251"	15
"252"	"subject252"	5
"253"	"subject253"	4
"254"	"subject254"	1
"255"	"subject255"	12
"256"	"subject256"	11
"257"	"subject257"	5
"258"	"subject258"	1
"259"	"subject259"	2
"260"	"subject260"	12
"261"	"subject261"	8
"262"	"subject262"	5
"263"	"subject263"	2
"264"	"subject264"	11
"265"	"subject265"	5
"266"	"subject266"	11
"267"	"subject267"	12
"268"	"subject268"	9
"269"	"subject269"	1
"270"	"subject270"	3
"271"	"subject271"	15
"272"	"subject272"	5
"273"	"subject273"	7
"274"	"subject274"	9
"275"	"subject275"	13
"276"	"subject276"	15
"277"	"subject277"	9
"278"	"subject278"	12
"279"	"subject279"	15
"280"	"subject280"	12
"281"	"subject281"	9
"282"	"subject282"	13
"283"	"subject283"	12
"284"	"subject284"	2
"285"	"subject285"	1
"286"	"subject286"	5
"287"	"subject287"	2
"288"	"subject288"	9
"289"	"subject289"	10
"290"	"subject290"	5
"291"	"subject291"	7
"292"	"subject292"	5
"293"	"subject293"	5
"294"	"subject294"	15
"295"	"subject295"	4
"296"	"subject296"	12
"297"	"subject297"	9
"298"	"subject298"	2
"299"	"subject299"	7
"300"	"subject300"	8
"301"	"subject301"	3
"302"	"subject302"	5
"303"	"subject303"	12
"304"	"subject304"	15
"305"	"subject305"	5
"306"	"subject306"	5
"307"	"subject307"	11
"308"	"subject308"	1
"309"	"subject309"	8
"310"	"subject310"	12
"311"	"subject311"	7
"312"	"subject312"	2
"313"	"subject313"	2
"314"	"subject314"	2
"315"	"subject315"	11
"316"	"subject316"	11
"317"	"subject317"	12
"318"	"subject318"	12
"319"	"subject319"	12
"320"	"subject320"	5
"321"	"subject321"	7
"322"	"subject322"	12
"323"	"subject323"	11
"324"	"subject324"	12
"325"	"subject325"	12
"326"	"subject326"	6
"327"	"subject327"	2
"328"	"subject328"	1
"329"	"subject329"	7
"330"	"subject330"	15
"331"	"subject331"	1
"332"	"subject332"	5
"333"	"subject333"	5
"334"	"subject334"	7
"335"	"subject335"	13
"336"	"subject336"	15
"337"	"subject337"	2
"338"	"subject338"	5
"339"	"subject339"	14
"340"	"subject340"	12
"341"	"subject341"	6
"342"	"subject342"	15
"343"	"subject343"	11
"344"	"subject344"	1
"345"	"subject345"	5
"346"	"subject346"	5
"347"	"subject347"	5
"348"	"subject348"	1
"349"	"subject349"	5
"350"	"subject350"	3
"351"	"subject351"	15
"352"	"subject352"	5
"353"	"subject353"	5
"354"	"subject354"	1
"355"	"subject355"	7
"356"	"subject356"	7
"357"	"subject357"	3
"358"	"subject358"	1
"359"	"subject359"	5
"360"	"subject360"	5
"361"	"subject361"	13
"362"	"subject362"	12
"363"	"subject363"	12
"364"	"subject364"	2
"365"	"subject365"	10
"366"	"subject366"	12
"367"	"subject367"	1
"368"	"subject368"	12
"369"	"subject369"	8
"370"	"subject370"	12
"371"	"subject371"	9
"372"	"subject372"	2
"373"	"subject373"	7
"374"	"subject374"	11
"375"	"subject375"	12
"376"	"subject376"	3
"377"	"subject377"	1
"378"	"subject378"	15
"379"	"subject379"	11
"380"	"subject380"	12
"381"	"subject381"	8
"382"	"subject382"	12
"383"	"subject383"	12
"384"	"subject384"	12
"385"	"subject385"	5
"386"	"subject386"	12
"387"	"subject387"	6
"388"	"subject388"	14
"389"	"subject389"	5
"390"	"subject390"	8
"391"	"subject391"	2
"392"	"subject392"	4
"393"	"subject393"	12
"394"	"subject394"	1
"395"	"subject395"	15
"396"	"subject396"	12
"397"	"subject397"	2
"398"	"subject398"	12
"399"	"subject399"	1
"400"	"subject400"	5
"401"	"subject401"	12
"402"	"subject402"	11
"403"	"subject403"	1
"404"	"subject404"	2
"405"	"subject405"	9
"406"	"subject406"	4
"407"	"subject407"	12
"408"	"subject408"	1
"409"	"subject409"	12
"410"	"subject410"	9
"411"	"subject411"	12
"412"	"subject412"	3
"413"	"subject413"	6
"414"	"subject414"	9
"415"	"subject415"	11
"416"	"subject416"	15
"417"	"subject417"	12
"418"	"subject418"	12
"419"	"subject419"	11
"420"	"subject420"	7
"421"	"subject421"	2
"422"	"subject422"	5
"423"	"subject423"	3
"424"	"subject424"	5
"425"	"subject425"	2
"426"	"subject426"	2
"427"	"subject427"	2
"428"	"subject428"	11
"429"	"subject429"	7
"430"	"subject430"	1
"431"	"subject431"	12
"432"	"subject432"	5
"433"	"subject433"	11
"434"	"subject434"	14
"435"	"subject435"	1
"436"	"subject436"	12
"437"	"subject437"	12
"438"	"subject438"	7
"439"	"subject439"	12
"440"	"subject440"	2
"441"	"subject441"	5
"442"	"subject442"	5
"443"	"subject443"	7
"444"	"subject444"	5
"445"	"subject445"	8
"446"	"subject446"	5
"447"	"subject447"	3
"448"	"subject448"	12
"449"	"subject449"	2
"450"	"subject450"	2
"451"	"subject451"	11
"452"	"subject452"	1
"453"	"subject453"	12
"454"	"subject454"	14
"455"	"subject455"	1
"456"	"subject456"	1
"457"	"subject457"	12
"458"	"subject458"	3
"459"	"subject459"	12
"460"	"subject460"	7
"461"	"subject461"	12
"462"	"subject462"	5
"463"	"subject463"	10
"464"	"subject464"	7
"465"	"subject465"	10
"466"	"subject466"	12
"467"	"subject467"	2
"468"	"subject468"	11
"469"	"subject469"	5
"470"	"subject470"	11
"471"	"subject471"	12
"472"	"subject472"	6
"473"	"subject473"	15
"474"	"subject474"	1
"475"	"subject475"	11
"476"	"subject476"	5
"477"	"subject477"	7
"478"	"subject478"	12
"479"	"subject479"	10
"480"	"subject480"	10
"481"	"subject481"	5
"482"	"subject482"	5
"483"	"subject483"	7
"484"	"subject484"	13
"485"	"subject485"	12
"486"	"subject486"	12
"487"	"subject487"	2
"488"	"subject488"	5
"489"	"subject489"	12
"490"	"subject490"	6
"491"	"subject491"	7
"492"	"subject492"	6
"493"	"subject493"	12
"494"	"subject494"	5
"495"	"subject495"	9
"496"	"subject496"	1
"497"	"subject497"	14
"498"	"subject498"	4
"499"	"subject499"	1
"500"	"subject500"	9
